X1	X2
GPSeqClus	Sequential Clustering Algorithm for Location Data
gptstudio	Use Large Language Models Directly in your Development Environment
grapesAgri1	Collection of Shiny Apps for Agricultural Research Data Analysis
graph3d	A Wrapper of the JavaScript Library 'vis-graph3d'
gratis	Generating Time Series with Diverse and Controllable Characteristics
gravitas	Explore Probability Distributions for Bivariate Temporal Granularities
greeks	Sensitivities of Prices of Financial Options and Implied Volatilities
greenfeedr	Process and Report 'GreenFeed' Data
greenR	Green Index Quantification, Analysis and Visualization
Greymodels	Shiny App for Grey Forecasting Model
gridsampler	A Simulation Tool to Determine the Required Sample Size for Repertory Grid Studies
gridstackeR	Wrapper for 'gridstack.js'
groqR	A Coding Assistant using the Fast AI Inference 'Groq'
growthTrendR	Toolkit for Data Processing, Quality, and Statistical Models
GRShiny	Graded Response Model
gt	Easily Create Presentation-Ready Display Tables
gtExtras	Extending 'gt' for Beautiful HTML Tables
guiplot	User-Friendly GUI Plotting Tools
GWalkR	Interactive Exploratory Data Analysis Tool
gwid	Genome-Wide Identity-by-Descent
gwpcormapper	Geographically Weighted Partial Correlation Mapper
GWSDAT	GroundWater Spatiotemporal Data Analysis Tool (GWSDAT)
HaDeX	Analysis and Visualisation of Hydrogen/Deuterium Exchange Mass Spectrometry Data
handcodeR	Text Annotation App
handwriterApp	A 'shiny' Application for Handwriting Analysis
hchinamap	Mapping China and Its Provinces
hdar	'REST' API Client for Accessing Data on 'WEkEO HDA V2'
healthfinance	Financial Projections and Planning for Health Care Practices
heatmaply	Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2'
heattree	A Self-Contained Widget for Interactive Phylogenetic Tree Visualization
heiscore	Score and Plot the Healthy Eating Index from NHANES Data
hexsession	Create a Tile of Logos for Loaded Packages
HH	Statistical Analysis and Data Display: Heiberger and Holland
hidecan	Create HIDECAN Plots for Visualising Genome-Wide Association Studies and Differential Expression Results
highcharter	A Wrapper for the 'Highcharts' Library
highdir	Backend-Agnostic Figure Builder for 'highcharter' and 'ggplot2'
highlighter	Code Syntax Highlighting using the 'Prism.js' Library
hipecR	Tools for Analysing HIPEC Patient Data
histoslider	A Histogram Slider Input for 'Shiny'
HIViz	Interactive Dashboard for 'HIV' Data Visualization
HKRbook	Apps and Data for the Book "Introduction to Statistics"
Hmisc	Harrell Miscellaneous
holi	Higher Order Likelihood Inference Web Applications
Holomics	A User-Friendly R 'shiny' Application for Multi-Omics Data Integration and Analysis
hover	CSS Animations for 'shiny' Button Elements
howler	'Shiny' Extension of 'howler.js'
hpackedbubble	Create Split Packed Bubble Charts
htetree	Causal Inference with Tree-Based Machine Learning Algorithms
html2R	Convert 'HTML' to 'R' with a 'Shiny' App
htmlTable	Advanced Tables for Markdown/HTML
htmlwidgets	HTML Widgets for R
htmxr	Build Modern Web Applications with 'htmx' and 'plumber2'
htsr	Hydro-Meteorology Time-Series
huxtable	Easily Create and Style Tables for LaTeX, HTML and Other Formats
hwordcloud	Rendering Word Clouds
hypothesis	Wrapper for 'hypothes.is'
ibmsunburst	Generate Personality Insights Sunburst Diagrams
ICCDesign	Intraclass Correlation Coefficient (ICC) Design, Calculation and Interactive 'shiny' Toolkit
iCellR	Analyzing High-Throughput Single Cell Sequencing Data
icertool	Calculate and Plot ICER
IceSat2R	'ICESat-2' Altimeter Data using R
ichimoku	Visualization and Tools for Ichimoku Kinko Hyo Strategies
idcnrba	Interactive Application for Analyzing Representativeness and Nonresponse Bias
IDEAFilter	Agnostic, Idiomatic Data Filter Module for Shiny
idealstan	Robust Measurement with 'Stan'
ideanet	Integrating Data Exchange and Analysis for Networks ('ideanet')
IDEATools	Individual and Group Farm Sustainability Assessments using the IDEA4 Method
iglu	Interpreting Glucose Data from Continuous Glucose Monitors
igraphinshiny	Use 'shiny' to Demo 'igraph'
iheatmapr	Interactive, Complex Heatmaps
IMP	Interactive Model Performance Evaluation
imputeCGM	Impute Missing Glucose Values in CGM Data
imuf	Estimate Orientation of an Inertial Measurement Unit
inDAGO	A GUI for Dual and Bulk RNA-Sequencing Analysis
insane	INsulin Secretion ANalysEr
InsectLabelR	Create Labels for Insect in Collection
inshiny	Compact Inline Widgets for 'shiny' Apps
InspectionPlanner	Phytosanitary Inspection Sampling Planner
interca	Multiple Correspondence Analysis Based on Interpretive Coordinates
ioncopy	Calling Copy Number Alterations in Amplicon Sequencing Data
ipc	Tools for Message Passing Between Processes
iRfcb	Tools for Managing Imaging FlowCytobot (IFCB) Data
IRR2FPR	Computing False Positive Rate from Inter-Rater Reliability
irtawsi	Items Response Theory Analysis with Steps and Interpretation
irtDemo	Item Response Theory Demo Collection
irtGUI	Item Response Theory Analysis with a Graphic User Interface
IRTShiny	Item Response Theory via Shiny
Isinglandr	Landscape Construction and Simulation for Ising Networks
IsoCor	Analyze Isotope Ratios in a 'Shiny'-App
istat	Download and Manipulate Data from Istat
iSTATS	A Graphical Interface to Perform STOCSY Analyses on NMR Data
itol.toolkit	Helper Functions for 'Interactive Tree Of Life'
ivolcano	Interactive Volcano Plot
ixplorer	Easy DataOps for R Users
jaccard	Testing Similarity Between Binary Datasets using Jaccard/Tanimoto Coefficients
JBrowseR	An R Interface to the JBrowse 2 Genome Browser
jellyfisher	Visualize Spatiotemporal Tumor Evolution with Jellyfish Plots
JMbayes	Joint Modeling of Longitudinal and Time-to-Event Data under a Bayesian Approach
journalabbr	Journal Abbreviations for BibTeX Documents
jpmesh	Utilities for Japanese Mesh Code
jqbr	'jQuery QueryBuilder' Input for 'Shiny'
jquerylib	Obtain 'jQuery' as an HTML Dependency Object
jshintr	Lint 'JavaScript' Files
jsmodule	'RStudio' Addins and 'Shiny' Modules for Medical Research
jsplyr	Manipulate 'JSON' Data in the Browser with a 'dplyr' Interface
jsTree	Create Interactive Trees with the 'jQuery' 'jsTree' Plugin
jsTreeR	A Wrapper of the JavaScript Library 'jsTree'
JustifyAlpha	Justifying Alpha Levels for Hypothesis Tests
kableExtra	Construct Complex Table with 'kable' and Pipe Syntax
KCSKNNShiny	K-Nearest Neighbour Classifier
KCSNBShiny	Naive Bayes Classifier
keys	Keyboard Shortcuts for 'shiny'
kgraph	Knowledge Graphs Constructions and Visualizations
kgschart	KGS Rank Graph Parser
kindisperse	Simulate and Estimate Close-Kin Dispersal Kernels
kinesis	'shiny' Applications for the 'tesselle' Packages
KLINK	Kinship Analysis with Linked Markers
klustR	D3 Dynamic Cluster Visualizations
KNNShiny	Interactive Document for Working with KNN Analysis
kollaR	Event Classification, Visualization and Analysis of Eye Tracking Data
kpiwidget	KPI Widgets for Quarto Dashboards with Crosstalk
lakhesis	Consensus Seriation for Binary Data
langevitour	Langevin Tour
lareshiny	Lares 'shiny' Modules
lavaan.shiny	Latent Variable Analysis with Shiny
lavaangui	Graphical User Interface with Integrated 'Diagrammer' for 'Lavaan'
LBSPR	Length-Based Spawning Potential Ratio
lcars	LCARS Aesthetic for Shiny
LCMSQA	Liquid Chromatography/Mass Spectrometry (LC/MS) Quality Assessment
LDAShiny	Interactive Topic Modeling and Bibliometric Analysis via Shiny
leafareaR	Leaf Area Modeling, Evaluation, and Prediction
leafdown	Provides Drill Down Functionality for 'leaflet' Choropleths
leafem	'leaflet' Extensions for 'mapview'
leafgl	High-Performance 'WebGl' Rendering for Package 'leaflet'
leaflegend	Add Custom Legends to 'leaflet' Maps
leaflet	Create Interactive Web Maps with the JavaScript 'Leaflet' Library
leaflet.extras	Extra Functionality for 'leaflet' Package
leaflet.extras2	Extra Functionality for 'leaflet' Package
leaflet.minicharts	Mini Charts for Interactive Maps
leaflet.providers	Leaflet Providers
leafpm	Leaflet Map Plugin for Drawing and Editing
leafpop	Include Tables, Images and Graphs in Leaflet Pop-Ups
leafsync	Small Multiples for Leaflet Web Maps
leaftime	'Leaflet-timeline' Plugin for Leaflet
leakr	Data Leakage Detection Tools for Machine Learning
LearnPCA	Functions, Data Sets and Vignettes to Aid in Learning Principal Components Analysis (PCA)
learnr	Interactive Tutorials for R
lessR	Less Code with More Comprehensive Results
LFApp	Shiny Apps for Lateral Flow Assays
LifemapR	Data Visualisation on 'Lifemap' Tree
LifeTableBuilder	Interactive 'shiny' Application for Constructing Life Tables
LifeTableFertility	'shiny' Application for Life Table and Fertility Analysis
lightsout	Implementation of the 'Lights Out' Puzzle Game
lineupjs	'HTMLWidget' Wrapper of 'LineUp' for Visual Analysis of Multi-Attribute Rankings
linevis	Interactive Time Series Visualizations
lingglosses	Interlinear Glossed Linguistic Examples and Abbreviation Lists Generation
linguisticsdown	Easy Linguistics Document Writing with R Markdown
link	Hyperlink Automatic Detection
linkeR	Link Interactive Plots and Tables in 'shiny' Applications
linkspotter	Bivariate Correlations Calculation and Visualization
linne	Convenient 'CSS'
listviewer	'htmlwidget' for Interactive Views of R Lists
live	Local Interpretable (Model-Agnostic) Visual Explanations
llmcoder	LLM-Powered Code Generation, Error Fixing, and Chat for 'RStudio'
LLMTranslate	'shiny' App for TRAPD/ISPOR Survey Translation with LLMs
LMD	A Self-Adaptive Approach for Demodulating Multi-Component Signal
lmviz	A Package to Visualize Linear Models Features and Play with Them
loadeR	Load Data for Analysis System
login	'shiny' Login Module
logrxaddin	Addin for the 'logrx' Package
lorem	Generate Lorem Ipsum Text
lrstat	Power and Sample Size Calculation for Non-Proportional Hazards and Beyond
lucidr	'Lucide' Icons for 'R'
maidr	Multimodal Access and Interactive Data Representation
mailmerge	Mail Merge Using R Markdown Documents and 'gmailr'
mailtoR	Creates a Friendly User Interface for Emails Sending in 'shiny'
MainExistingDatasets	Main Existing Human Datasets
makemyprior	Intuitive Construction of Joint Priors for Variance Parameters
manipulateWidget	Add Even More Interactivity to Interactive Charts
mantis	Multiple Time Series Scanner
mapboxapi	R Interface to 'Mapbox' Web Services
mapdeck	Interactive Maps Using 'Mapbox GL JS' and 'Deck.gl'
mapedit	Interactive Editing of Spatial Data in R
mapgl	Interactive Maps with 'Mapbox GL JS' and 'MapLibre GL JS'
maplamina	High-Performance 'WebGL' Mapping Widgets for R
MapperAlgo	Topological Data Analysis: Mapper Algorithm
MappingCalc	Mapping Calculator for EQ-5D Utility Scores
mapsf.gui	Create Thematic Maps Interactively
mapview	Interactive Viewing of Spatial Data in R
MarineChain	Blockchain-Enabled Maritime Transportation System Simulator
markdownInput	Shiny Module for a Markdown Input with Result Preview
MBGapp	Interactive 'shiny' Application for Model-Based Geostatistics
MCPModPack	Simulation-Based Design and Analysis of Dose-Finding Trials
mcvis	Multi-Collinearity Visualization
MDSPCAShiny	Interactive Document for Working with Multidimensional Scaling and Principal Component Analysis
mdsr	Complement to 'Modern Data Science with R'
measureR	Tools for Educational and Psychological Measurement
medfate	Mediterranean Forest Simulation
medfateland	Mediterranean Landscape Simulation
MedianaDesigner	Power and Sample Size Calculations for Clinical Trials
meltt	Matching Event Data by Location, Time and Type
memapp	The Moving Epidemic Method Web Application
memery	Internet Memes for Data Analysts
mergeGridR	Grid-Based Number Merge Puzzle Simulation
mergenstudio	'Mergen' Studio: An 'RStudio' Addin Wrapper for the 'Mergen' Package
metaconfoundr	Visualize 'Confounder' Control in Meta-Analyses
metainsight	A 'shiny' Application for Network Meta-Analysis
metalite.sl	Subject-Level Analysis Using 'metalite'
metalite.table1	Interactive Table of Descriptive Statistics in HTML
metathis	HTML Metadata Tags for 'R Markdown' and 'Shiny'
MethodOpt	Advanced Method Optimization for Spectra-Generating Sampling and Analysis Instrumentation
MetSizeR	A Shiny App for Sample Size Estimation in Metabolomic Experiments
MHQoL	Mental Health Quality of Life Toolkit
micromodal	Create Simple and Elegant Modal Dialogs in 'shiny'
microplot	Microplots (Sparklines) in 'LaTeX', 'Word', 'HTML', 'Excel'
midas	Turn HTML 'Shiny'
MIMSunit	Algorithm to Compute Monitor Independent Movement Summary Unit (MIMS-Unit)
min2HalfFFD	Minimally Changed Two-Level Half-Fractional Factorial Designs
mindr	Generate Mind Maps
minidown	Create Simple Yet Powerful HTML Documents with Light Weight CSS Frameworks
miniMeta	Web Application to Run Meta-Analyses
miniUI	Shiny UI Widgets for Small Screens
mipplot	An Open-Source Tool for Visualization of Climate Mitigation Scenarios
mispitools	Missing Person Identification Tools
mldr	Exploratory Data Analysis and Manipulation of Multi-Label Data Sets
MLmorph	Integrating Morphological Modeling and Machine Learning for Decision Support
mlr3shiny	Machine Learning in 'shiny' with 'mlr3'
mmaqshiny	Explore Air-Quality Mobile-Monitoring Data
mmibain	Bayesian Informative Hypotheses Evaluation Web Applications
mmiCATs	Cluster Adjusted t Statistic Applications
mmints	Workflows for Building Web Applications
mmirestriktor	Informative Hypothesis Testing Web Applications
mmstat4	Access to Teaching Materials from a ZIP File or GitHub
MNLR	Interactive Shiny Presentation for Working with Multinomial Logistic Regression
modest	Model-Based Dose-Escalation Trials
monaco	The 'Monaco' Editor as a HTML Widget
monitOS	Monitoring Overall Survival in Pivotal Trials in Indolent Cancers
monographaR	Taxonomic Monographs Tools
moodlequizR	Easily Create Fully Randomized 'Moodle' Test Questions
MOsemiind	Marshall-Olkin Shock Models with Semi-Independent Time
movedesign	Study Design Toolbox for Movement Ecology Studies
mplot	Graphical Model Stability and Variable Selection Procedures
msaR	Multiple Sequence Alignment for R Shiny
mschart	Chart Generation for 'Microsoft Word', 'Microsoft Excel' and 'Microsoft PowerPoint' Documents
MSMGOptimizer	Mine Sustainability Modeling Group (MSMG) 'SimaPro' CSV Optimizer
mtb	My Toolbox for Assisting Document Editing and Data Presenting
MuChPoint	Multiple Change Point
muiDataGrid	'MUI X Data Grid' for 'shiny' Apps and 'Quarto'
muiMaterial	'Material UI' for 'shiny' Apps and 'Quarto'
muiTreeView	'MUI X Tree View' for 'shiny' Apps and 'Quarto'
multiActionButton	Multi Action Button for 'Shiny' Applications
multiDEGGs	Multi-Omic Differentially Expressed Gene-Gene Pairs
multigroup.vaccine	Analyze Outbreak Models of Multi-Group Populations with Vaccination
multilevelcoda	Estimate Bayesian Multilevel Models for Compositional Data
MultiscaleDTM	Multi-Scale Geomorphometric Terrain Attributes
MuPETFlow	Multiple Ploidy Estimation Tool for all Species Compatible with Flow Cytometry
mwshiny	'Shiny' for Multiple Windows
mycaas	My Computerized Adaptive Assessment
myIO	Interactive Data Visualizations Using 'd3.js'
myownrobs	AI Coding Agent for 'RStudio'
NACHO	NanoString Quality Control Dashboard
namedropR	Create Visual Citations for Presentations and Posters
nbc4va	Bayes Classifier for Verbal Autopsy Data
NBShiny	Interactive Document for Working with Naive Bayes Classification
NBShiny2	Interactive Document for Working with Naive Bayes Classification
NBShiny3	Interactive Document for Working with Naive Bayes Classification
ncmR	Fit Neutral Community Model to Microbiome or Ecological Data
NDP	Interactive Presentation for Working with Normal Distribution
ndtv	Network Dynamic Temporal Visualizations
neo4r	A 'Neo4J' Driver
neodistr	Neo-Normal Distribution
neptune	MLOps Metadata Store - Experiment Tracking and Model Registry for Production Teams
nestable	Collapsible 'HTML' Tables from Hierarchical Data
NestedMenu	A Nested Menu Widget for 'Shiny' Applications
netknitr	Knit Network Map for any Dataset
netSEM	Network Structural Equation Modeling
NetSimR	Actuarial Functions for Non-Life Insurance Modelling
networkD3	D3 JavaScript Network Graphs from R
nextGenShinyApps	Craft Exceptional 'R Shiny' Applications and Dashboards with Novel Responsive Tools
NGCHM	Next Generation Clustered Heat Maps
NGLVieweR	Interactive 3D Visualization of Molecular Structures
NiLeDAM	Monazite Dating for the NiLeDAM Team
nivo.bubblechart	Interactive Bubble Charts for 'Shiny' Using 'Nivo'
nocturn	Sleep Data Filtering and Visualisation
nomnoml	Sassy 'UML' Diagrams
NormalityAssessment	A Graphical User Interface for Testing Normality Visually
normfluodbf	Cleans and Normalizes FLUOstar DBF and DAT Files from 'Liposome' Flux Assays
npboottprm	Nonparametric Bootstrap Test with Pooled Resampling
npboottprmFBar	Informative Nonparametric Bootstrap Test with Pooled Resampling
NPCDTools	The Nonparametric Classification Methods for Cognitive Diagnosis
npregfast	Nonparametric Estimation of Regression Models with Factor-by-Curve Interactions
NutrienTrackeR	Food Composition Information and Dietary Assessment
objectremover	'RStudio' Addin for Removing Objects from the Global Environment Based on Patterns and Object Type
occCite	Querying and Managing Large Biodiversity Occurrence Datasets
occupationMeasurement	Interactively Measure Occupations in Interviews and Beyond
oceanexplorer	Explore Our Planet's Oceans with NOAA
octopus	A Database Management Tool
oglcnac	Processing and Analysis of 'O-GlcNAcAtlas' Data
OhdsiShinyAppBuilder	Viewing Observational Health Data Sciences and Informatics Results via 'shiny' Modules
olr	Optimal Linear Regression
OlympicRshiny	'Shiny' Application for Olympic Data
omicsTools	Omics Data Process Toolbox
OmopViewer	Visualise OMOP Results using 'shiny' Applications
omsvg	Build and Transform 'SVG' Objects
One4All	Validate, Share, and Download Data
onemap	Construction of Genetic Maps in Experimental Crosses
oolong	Create Validation Tests for Automated Content Analysis
openeo	Client Interface for 'openEO' Servers
OpenImageR	An Image Processing Toolkit
OpenRepGrid.ic	Interpretive Clustering for Repertory Grids
OpenSpecy	Analyze, Process, Identify, and Share Raman and (FT)IR Spectra
optedr	Calculating Optimal and D-Augmented Designs for Single- and Multi-Factor Models
ordinalsimr	Compare Ordinal Endpoints Using Simulations
overshiny	Interactive Overlays on 'shiny' Plots
OWEA	Optimal Weight Exchange Algorithm for Optimal Designs for Three Models
packageDiff	Compare R Package Differences
packagefinder	Comfortable Search for R Packages on CRAN, Either Directly from the R Console or with an R Studio Add-in
PacketLLM	AI Assistant Gadget for 'RStudio'
pagedown	Paginate the HTML Output of R Markdown with CSS for Print
pagemap	Create Mini Map for Web Pages
pairsD3	D3 Scatterplot Matrices
PakPC2023	Pakistan Population Census 2023
PAMpal	Load and Process Passive Acoustic Data
PAMscapes	Tools for Summarising and Analysing Soundscape Data
pandemonium	High Dimensional Analysis in Linked Spaces
pannotator	Visualisation and Annotation of 360 Degree Imagery
parallelPlot	'htmlwidget' for a Parallel Coordinates Plot
paramGUI	A Shiny GUI for some Parameter Estimation Examples
parcats	Interactive Parallel Categories Diagrams for 'easyalluvial'
ParCC	Parameter Converter and Calculator for Health Technology Assessment
pargasite	Pollution-Associated Risk Geospatial Analysis Site
PatientGenerator	Generator of Synthetic Patient Data for the OMOP Common Data Model
pbr	Find a Cold One Near You
PCRedux	Quantitative Polymerase Chain Reaction (qPCR) Data Mining and Machine Learning Toolkit as Described in Burdukiewicz (2022) <doi:10.21105/Joss.04407>
pdfcombiner	Graphical User Interface for Manipulating PDF and Image Files
PDShiny	'Probability Distribution Shiny'
pedquant	Public Economic Data and Quantitative Analysis
PELVIS	Probabilistic Sex Estimate using Logistic Regression, Based on VISual Traits of the Human Os Coxae
pema	Penalized Meta-Analysis
PepMapViz	A Versatile Toolkit for Peptide Mapping, Visualization, and Comparative Exploration
periscope	Enterprise Streamlined 'Shiny' Application Framework
periscope2	Enterprise Streamlined 'shiny' Application Framework Using 'bs4Dash'
perplexR	A Coding Assistant using Perplexity's Large Language Models
personr	Test Your Personality
perspectiveR	Interactive Pivot Tables and Visualizations with 'Perspective'
pguIMP	Visually Guided Preprocessing of Bioanalytical Laboratory Data
pharmr	Interface to the 'Pharmpy' 'Pharmacometrics' Library
phase	Analyse Biological Time-Series Data
phosphoricons	'Phosphor' Icons for R
phylocanvas	Interactive Phylogenetic Trees Using the 'Phylocanvas' JavaScript Library
PhytosanitaryCalculator	Phytosanitary Calculator for Inspection Plans Based on Risks
picClip	Paste Box Input for 'Shiny'
picker	Pick Data Points from a Deck.gl Scatterplot
pikchr	R Wrapper for 'pikchr' (PIC) Diagram Language
pioneeR	Productivity and Efficiency Analysis using DEA
pipefittr	Convert Nested Functions to Pipes
pivottabler	Create Pivot Tables
pixels	Tools for Working with Image Pixels
pixiedust	Tables so Beautifully Fine-Tuned You Will Believe It's Magic
PKbioanalysis	Pharmacokinetic Bioanalysis Experiments Design and Exploration
PKconverter	The Parameter Converter of the Pharmacokinetic Models
plainview	Plot Raster Images Interactively on a Plain HTML Canvas
plotly	Create Interactive Web Graphics via 'plotly.js'
plotROC	Generate Useful ROC Curve Charts for Print and Interactive Use
plotscaper	Explore Your Data with Interactive Figures
plumbertableau	Turn 'Plumber' APIs into 'Tableau' Extensions
pmxcode	Create Pharmacometric Models
pmxpartab	Parameter Tables for PMx Analyses
pointblank	Data Validation and Organization of Metadata for Local and Remote Tables
polarisR	Non-Linear Dimensionality Reduction Visualization Tool
polaroid	Create Hex Stickers with 'shiny'
polish	Polishing Content for 'Word' and 'PowerPoint'
polished	Authentication and Hosting for 'shiny' Apps
PolisheR	Interfacing 'NaileR' with 'Shiny'
Poly4AT	Access 'INVEKOS' API for Field Polygons
poppr	Genetic Analysis of Populations with Mixed Reproduction
populationPDXdesign	Designing Population PDX Studies
powerprior	Conjugate Power Priors for Bayesian Analysis of Normal Data
ppcSpatial	Spatial Analysis of Pakistan Population Census
PPtreeExt	Projection Pursuit Classification Tree Extensions
praatpicture	'Praat Picture' Style Plots of Acoustic Data
precisely	Estimate Sample Size Based on Precision Rather than Power
predhy.GUI	Genomic Prediction of Hybrid Performance with Graphical User Interface
predictoR	Predictive Data Analysis System
PREPShiny	Interactive Document for Preprocessing the Dataset
presize	Precision Based Sample Size Calculation
priorityelasticnet	Comprehensive Analysis of Multi-Omics Data Using an Offset-Based Method
PRISMA2020	Make Interactive 'PRISMA' Flow Diagrams
processmapR	Construct Process Maps Using Event Data
processmonitR	Building Process Monitoring Dashboards
profvis	Interactive Visualizations for Profiling R Code
ProjectionBasedClustering	Projection Based Clustering
projectLSA	Shiny Application for Latent Structure Analysis with a Graphical User Interface
prompter	Add Tooltips in 'Shiny' Apps with 'Hint.css'
protein8k	Perform Analysis and Create Visualizations of Proteins
protoshiny	Interactive Dendrograms for Visualizing Hierarchical Clusters with Prototypes
puff	Simulate and Visualize the Gaussian Puff Forward Atmospheric Model
PupilPre	Preprocessing Pupil Size Data
purgeR	Inbreeding-Purging Estimation in Pedigreed Populations
pushbar	Create Sliders for 'Shiny'
pylintR	Lint 'Python' Files with a R Command or a 'RStudio' Addin
qbrms	Quick Bayesian Regression Models Using 'INLA' with 'brms' Syntax
qgam	Smooth Additive Quantile Regression Models
qgshiny	A 'shiny' Application for Active Learning Instruction in Introductory Quantitative Genetics
qlcData	Processing Data for Quantitative Language Comparison
qPRAentry	Quantitative Pest Risk Assessment at the Entry Step
qqvases	Animated Normal Quantile-Quantile Plots
QRAGadget	A 'Shiny' Gadget for Interactive 'QRA' Visualizations
qreport	Statistical Reporting with 'Quarto'
qrlabelr	Generate Machine- And Human-Readable Plot Labels for Experiments
qsplines	Quaternions Splines
qtlcharts	Interactive Graphics for QTL Experiments
quadkeyr	Generate Raster Images from QuadKey-Identified Datasets
quadraticSD	Visualizing the SD using a Quadratic Curve
quadVAR	Quadratic Vector Autoregression
quallmer.app	Interactive Validation App for 'quallmer'
quarks	Simple Methods for Calculating and Backtesting Value at Risk and Expected Shortfall
quartify	Convert R Scripts to 'Quarto' Markdown Documents
quarto	R Interface to 'Quarto' Markdown Publishing System
querychat	Filter and Query Data Frames in 'shiny' Using an LLM Chat Interface
questionr	Functions to Make Surveys Processing Easier
QuickExplore	Interactive Dataset Explorer for 'R' and 'SAS' and Other Data Formats
quollr	Visualising How Nonlinear Dimension Reduction Warps Your Data
QurvE	Robust and User-Friendly Analysis of Growth and Fluorescence Curves
r2d3	Interface to 'D3' Visualizations
r2fireworks	Enhance Your 'Rmarkdown' and 'shiny' Apps with Dazzling Fireworks Celebrations
r2resize	In-Text Resize for Images, Tables and Fancy Resize Containers in 'shiny', 'rmarkdown' and 'quarto' Documents
R2sample	Various Methods for the Two Sample Problem
r2social	Seamless Integration of Sharing and Connect Buttons in Markdown and Apps
r2symbols	Symbols for 'Markdown' and 'Shiny' Application
r3dmol	Create Interactive 3D Visualizations of Molecular Data
r3js	'WebGL'-Based 3D Plotting using the 'three.js' Library
R4GoodPersonalFinances	Make Optimal Financial Decisions
r5rgui	Graphical User Interface for 'r5r' Router
r6methods	Make Methods for R6 Classes
rAccess	Access Control Module for 'shiny' Applications
Racmacs	Antigenic Cartography Macros
RadialVisGadgets	Interactive Gadgets for Radial Visualization Approaches
radiant	Business Analytics using R and Shiny
radiant.basics	Basics Menu for Radiant: Business Analytics using R and Shiny
radiant.data	Data Menu for Radiant: Business Analytics using R and Shiny
radiant.design	Design Menu for Radiant: Business Analytics using R and Shiny
radiant.model	Model Menu for Radiant: Business Analytics using R and Shiny
radiant.multivariate	Multivariate Menu for Radiant: Business Analytics using R and Shiny
RagGrid	A Wrapper of the 'JavaScript' Library 'agGrid'
RAINBOWR	Genome-Wide Association Study with SNP-Set Methods
rainette	The Reinert Method for Textual Data Clustering
RALSA	R Analyzer for Large-Scale Assessments
rAmCharts	JavaScript Charts Tool
rAmCharts4	Interface to the JavaScript Library 'amCharts 4'
rangeModelMetadata	Provides Templates for Metadata Files Associated with Species Range Models
RanglaPunjab	Displays Palette of 5 Colors
rashnu	Balanced Sample Size and Power Calculation Tools
rassta	Raster-Based Spatial Stratification Algorithms
ravel	AI Copilot for R Analysis Workflows in 'RStudio'
RawHummus	Raw Data Quality Control Tool for LC-MS System
rcbayes	Estimate Rogers-Castro Migration Age Schedules with Bayesian Models
RchivalTag	Analyzing and Interactive Visualization of Archival Tagging Data
rclipboard	Shiny/R Wrapper for 'clipboard.js'
rcrimeanalysis	An Implementation of Crime Analysis Methods
rcrossref	Client for Various 'CrossRef' 'APIs'
RCTrep	Validation of Estimates of Treatment Effects in Observational Data
rddapp	Regression Discontinuity Design Application
rDeckgl	R Bindings to 'Deck.gl'
reactable	Interactive Data Tables for R
reactable.extras	Extra Features for 'reactable' Package
reactCheckbox	Checkbox Group Input for 'Shiny'
reactR	React Helpers
reactRouter	'React Router' for 'shiny' Apps and 'Quarto'
recogito	Interactive Annotation of Text and Images
ReDaMoR	Relational Data Modeler
REDCapCAST	REDCap Metadata Casting and Castellated Data Handling
RedeAgroRadar	Weather Radar Monitoring and 'Telegram' Alerts for Agriculture Research
refund.shiny	Interactive Plotting for Functional Data Analyses
regexSelect	Regular Expressions in 'shiny' Select Lists
regressoR	Regression Data Analysis System
regtomean	Regression Toward the Mean
ReliaShiny	A 'Shiny' App for Reliability Analysis
repr	Serializable Representations
resizableSplitLayout	Resizable Split Layout Module for 'shiny'
retistruct	Retinal Reconstruction Program
ReviewR	A Light-Weight, Portable Tool for Reviewing Individual Patient Records
revtools	Tools to Support Evidence Synthesis
rgl	3D Visualization Using OpenGL
rhandsontable	Interface to the 'Handsontable.js' Library
rheroicons	A Zero Dependency 'SVG' Icon Library for 'Shiny'
rhino	A Framework for Enterprise Shiny Applications
rintimg	View Images on Full Screen in 'RMarkdown' Documents and 'shiny' Applications
rintrojs	Wrapper for the 'Intro.js' Library
rjd3production	Prepare for Production of Seasonal Adjustment with 'JDemetra+'
RLumShiny	'Shiny' Applications for the R Package 'Luminescence'
rmarkdown	Dynamic Documents for R
rmdformats	HTML Output Formats and Templates for 'rmarkdown' Documents
Rmfrac	Simulation and Statistical Analysis of Multifractional Processes
Rmoji	Interactively Insert Emojis in 'R' Documents
rMosaic	R Bindings to the 'Mosaic' Visualization Framework
rms	Regression Modeling Strategies
Rnightly	A Wrapper of the 'JavaScript' Library 'Nightly'
Rnvd3	An Incomplete Wrapper of the 'nvd3' JavaScript Library
roadoi	Find Free Versions of Scholarly Publications via Unpaywall
robmedExtra	Extra Functionality for (Robust) Mediation Analysis
robservable	Import an Observable Notebook as HTML Widget
RobustFlow	Robustness and Drift Auditing for Longitudinal Decision Systems
robustT2	Robust Hotelling-Type T² Control Chart Based on the Dual STATIS Approach
rock	Reproducible Open Coding Kit
rolldown	R Markdown Output Formats for Storytelling
RoME	Multiple Checks on MEDITS Trawl Survey Data
romic	R for High-Dimensional Molecular Data
